winery,country,provinces,prices,scores,designations,varieties,num_wines
Demetria,{US},{California},"{32.0, 68.0, 37.0, 40.0, 43.0, 75.0, 47.0, 22.0, 55.0, 25.0, 60.0, 30.0, 63.0}","{86, 88, 89, 91, 92, 93, 94}","{Cuvée Constantine, Estate, Le Belier, Cuvée Sandra, Cuvée Papou}","{Pinot Noir, Rhône-style Red Blend, G-S-M, Rhône-style White Blend, Syrah}",24
Demière-Ansiot,{France},{Champagne},{127.0},{92},{Neyrot Blanc de Blancs Extra Brut},{Chardonnay},1
Den Hoed,{US},{Washington},{80.0},"{96, 88, 89, 90, 91, 92, 93, 94}","{Marie's View Wallula Vineyard, Andreas Wallula Vineyard, Andreas, Marie's View, Marie's View Wallula Vineyards}","{Cabernet Sauvignon, Red Blend}",14
Denario,{Argentina},{Other},"{22.0, 15.0}","{88, 87}","{Reserva, Río Negro}",{Malbec},3
Denier-Handal,{US},{California},{20.0},{86},{Syrah},{Rosé},1
Denis Jamain,{France},{Loire Valley},"{19.0, 22.0}","{88, 91}","{Domaine de Reuilly Les Fossiles, Les Pierres Plates}",{Sauvignon Blanc},2
Dennen,{US},{California},{30.0},{88},{Charismatic Fool Sparkling Rosé},{Sparkling Blend},1
Deovlet,{US},{California},{45.0},{90},{La Encantada Vineyard},{Pinot Noir},1
Derby,{US},{California},"{32.0, 34.0, 36.0, 38.0, 20.0, 54.0, 24.0, 26.0, 28.0, 30.0}","{85, 86, 87, 88, 91, 93}","{Derby Vineyard, Implico, Fifteen 10, The Maneater Derby Vineyard, Derbyshire Vineyard}","{Red Blend, Rhône-style White Blend, Rhône-style Red Blend, Bordeaux-style Red Blend, Albariño}",24
Derey Frères,{France},{Burgundy},"{32.0, 33.0, 35.0, 36.0}","{88, 85, 86, 87}","{Vieilles Vignes, Les Vignes Marie}",{Pinot Noir},5
Dergi,{Georgia},{Kakheti},{18.0},{89},{Qvevri Dry Unfiltered White Wine},{Rkatsiteli},1
Des Voigne Cellars,{US},{Washington},"{35.0, 20.0, 26.0, 28.0, 30.0}","{88, 89, 84, 87}","{Montreux, San Remo, The Emcee, The Groove Red, Untitled}","{Red Blend, Syrah, Sangiovese, Merlot}",7
Descendientes de J. Palacios,{Spain},{Northern Spain},"{50.0, 100.0, 22.0}","{90, 92, 93}","{Villa de Corullón, Moncerbal Corullón, Pétalos}",{Mencía},3
Desert Wind,{US},{Washington},"{18.0, 20.0, 30.0, 15.0}","{84, 85, 86, 87}","{Estate Grown, Desert Wind Vineyard, Ruah, Estate Grown Ruah Proprietary, Estate Grown Ora Proprietary}","{Merlot, Red Blend, Malbec, Viognier, Chardonnay}",11
Desire,{Germany},{Rheinhessen},{17.0},{90},{Auslese Sweet},{Gewürztraminer},2
Despagne,{France},{Bordeaux},{10.0},{85},{Eclat},{Bordeaux-style White Blend},1
Dessilani,{Italy},{Piedmont},"{40.0, 17.0, 18.0, 55.0}","{88, 91, 84, 86}","{Spanna Riserva, Riserva, Spanna, Lochera}","{Nebbiolo, Red Blend}",4
Destello,{Spain},{Catalonia},{14.0},{84},{Reserva Rosé},{Sparkling Blend},1
Destro,{Italy},{Sicily & Sardinia},"{52.0, 29.0}","{90, 91, 84, 92}","{Isolanuda, Nausìca, Isolanuda Bianco, Aithos Rosso, Aspide}","{White Blend, Nerello Mascalese}",5
Deuce,{US},{Washington},{40.0},{86},{Reserve},{Syrah},2
Deumayen,{Argentina},{Mendoza Province},"{18.0, 30.0}","{83, 87}","{Petit Trez, Trez Reserva}",{Malbec},3
Deutz,{France},{Champagne},"{140.0, 167.0, 170.0, 45.0, 180.0, 57.0, 60.0, 66.0, 67.0, 69.0, 70.0, 200.0, 73.0, 75.0, 80.0, 82.0, 85.0, 93.0, 100.0}","{89, 90, 91, 92, 93, 94, 95}","{Brut, Rosé Brut, Amour de Deutz Brut, Amour de Deutz Brut Rosé, Blanc de Blancs Brut}","{Champagne Blend, Chardonnay}",26
Devaux,{France},{Champagne},"{69.0, 39.0, 45.0, 49.0, 85.0, 55.0}","{88, 90, 91, 93}","{Cuvée D Brut, Cuvée Rosé Brut, Cuvée D Rosé, Grand Réserve Brut, Ultra D Extra Brut}","{Champagne Blend, Pinot Noir}",8
Devil Proof,{US},{California},"{80.0, 125.0, 150.0}","{94, 95}",{Farrow Ranch},{Malbec},3
Devil's Advocate,{US},{California},{22.0},{86},{One Hundred Percent},{Red Blend},1
Devil's Lair,{Australia},{Western Australia},{25.0},{87},{Red Wine},{Bordeaux-style Red Blend},1
Devium,{US},{Washington},{34.0},{90},{French Creek Vineyard},{Rhône-style Red Blend},1
Devona,{US},{Oregon},{50.0},"{90, 92}",{Freedom Hill Vineyard},{Pinot Noir},2
Dezzani,{Italy},{Piedmont},"{25.0, 19.0, 20.0, 29.0}","{88, 90, 83, 86}","{Stardè, San Carlo, Monfrigio, La Luna e Le Stelle}","{Nebbiolo, Arneis, Barbera}",6
Di Arie,{US},{California},"{35.0, 39.0, 18.0, 25.0, 30.0}","{85, 87, 88, 89, 91, 92}","{Estate Grown & Bottled, Sierra Legend Estate Grown and Bottled, Break Away, Estate Grown, Interlude}","{Tempranillo, Red Blend, Zinfandel, Syrah, Petite Sirah}",10
Di Filippo,{Italy},{Central Italy},"{25.0, 35.0}","{90, 91, 87}",{Etnico},{Sagrantino},4
Di Giorgio Family Wines,{Australia},{South Australia},{16.0},{86},{Lucindale},{Chardonnay},1
Di Giovanna,{Italy},{Sicily & Sardinia},"{16.0, 18.0, 26.0, 15.0}","{82, 84, 86, 87, 88}","{Gerbino Rosato di, Poggionotte, Helios, Gerbino Bianco, Gerbino}","{Red Blend, Nerello Mascalese, Nero d'Avola, White Blend}",9
Di Lenardo,{Italy},{Northeastern Italy},{10.0},"{85, 86, 87}","{Vigneto Vigne dai Vieris, Vigneto Vigne da Lis Maris, Toh!}","{Pinot Grigio, Chardonnay, Pinot Bianco, Friulano, Sauvignon Blanc}",8
Di Majo Norante,{Italy},{Southern Italy},"{35.0, 17.0, 18.0, 20.0, 29.0}","{88, 89, 90, 91, 94}","{Ramitello, Contado Riserva, Apianae, Contado, Don Luigi Riserva}","{Red Blend, Aglianico, Moscato}",9
Di Meo,{Italy},{Southern Italy},"{35.0, 90.0, 39.0, 88.0, 41.0, 45.0, 14.0, 50.0, 19.0, 23.0, 22.0, 55.0, 24.0, 58.0, 27.0, 120.0}","{85, 87, 88, 89, 90, 91, 92, 93}","{Colle dei Cerri, Alessandra, G, Riserva, Erminia De Meo}","{Fiano, Aglianico, Greco, Falanghina, Coda di Volpe}",20
DiStefano,{US},{Washington},"{38.0, 39.0, 60.0, 20.0, 53.0, 25.0, 28.0}","{84, 85, 86, 87, 89, 90}","{domenica, Sogno, Domenica, 15th Anniversary Ottimo Red Wine, Meritage}","{Bordeaux-style Red Blend, Red Blend, Syrah, Cabernet Franc}",10
Diadema,{Italy},{Tuscany},"{50.0, 60.0, 45.0, 150.0}","{88, 89, 91, 86}","{D'Amare, Diadema, D'Amare Rosso}","{White Blend, Red Blend}",4
DiamAndes,{Argentina},{Mendoza Province},"{35.0, 40.0, 10.0, 11.0, 18.0, 20.0}","{83, 84, 85, 86, 89, 90, 92, 93}","{de Uco, Perlita, Gran Reserva, de Uco Gran Reserva}","{Malbec, Malbec-Syrah, Viognier, Malbec-Cabernet Sauvignon, Red Blend}",11
Diamond Creek,{US},{California},"{200.0, 225.0, 175.0}","{96, 91, 92, 93, 94, 95}","{Red Rock Terrace, Volcanic Hill, Gravelly Meadow, Fortieth Anniversary Volcanic Hill, Fortieth Anniversary Gravelly Meadow}",{Cabernet Sauvignon},18
Diamond Ridge Vineyards,{US},{California},"{10.0, 14.0}",{85},"{2 Jakes Red Blend, 2 Jakes}","{Red Blend, Rosé}",2
Diatom,{US},{California},"{48.0, 42.0, 36.0}","{91, 92, 93}","{Santos Road, Spear, Hillard Bruce, Machado}",{Chardonnay},4
Dibon,{Spain},{Catalonia},{10.0},{88},{Brut Reserve},{Sparkling Blend},1
Didier Dagueneau,{France},{Loire Valley},{26.0},{91},{En Chailloux},{Sauvignon Blanc},1
Diego Conterno,{Italy},{Piedmont},"{50.0, 70.0}","{86, 87}",{Ginestra},{Nebbiolo},2
Diego Finocchi,{Italy},{Tuscany},{25.0},{88},{L'Erta di Radda},{Red Blend},1
Diemersfontein,{South Africa},{Wellington},"{25.0, 22.0}","{89, 91}",{Reserve},"{Viognier, Pinotage}",3
Dierberg,{US},{California},"{32.0, 34.0, 44.0, 52.0}","{87, 88, 89, 90, 91, 92, 93}","{Dierberg Vineyard, Drum Canyon Vineyard, Estate Grown, Star Lane Vineyard, Drum Canyon Vineyard Estate Grown}","{Pinot Noir, Syrah, Chardonnay}",12
Dieter Meier,{Argentina},{Mendoza Province},{37.0},{87},{Puro Corte d'Oro},{Bordeaux-style Red Blend},1
Dievole,{Italy},{Tuscany},"{50.0, 35.0}","{91, 87}","{Novecento Riserva, Riserva Novecento}",{Sangiovese},3
Diez-Caballero,{Spain},{Northern Spain},{19.0},{83},{Reserva},{Tempranillo},1
Digby Fine English,{England},{England},"{61.0, 51.0, 77.0}","{89, 90}","{Leander Pink, Brut, Vintage Brut}",{Sparkling Blend},4
Digi Or,{Italy},{Southern Italy},{20.0},{85},{Falanghina},{Falanghina},2
Dilecta,{US},{California},"{52.0, 46.0}","{84, 86, 91, 92, 93}","{The Tiller Caliza Vineyard Russell Family Vineyards, Cookie, Bien Nacido Vineyard, Match, Unorthodox}","{Syrah, Grenache-Syrah, Rhône-style Red Blend, G-S-M, Syrah-Mourvèdre}",6
Diliberto,{US},{New York},"{26.0, 22.0}",{87},"{Tre, Cantina}","{Bordeaux-style Red Blend, Merlot-Cabernet Franc}",2
Dillon,{US},{California},"{20.0, 23.0}","{81, 82, 83, 85, 86}","{Barrel Fermented, Stainless Steel Fermented}",{Chardonnay},7
Dimitra,{Greece},{Messinia},{11.0},{88},{Geromilos Farms},{Cabernet Sauvignon-Merlot},1
Dinastía Vivanco,{Spain},{Northern Spain},"{105.0, 13.0, 14.0, 18.0, 115.0, 85.0, 120.0, 25.0, 90.0, 92.0, 30.0, 95.0}","{83, 85, 86, 87, 88, 89, 90, 91}","{Vivanco Tempranillo-Garnacha, Colección Vivanco Parcelas, Colección Vivanco Parcelas de, Reserva, Colección Vivanco Parcelas de Mazuelo}","{Rosé, Tempranillo Blend, Mazuelo, Garnacha, Maturana}",21
Dion,{US},{Oregon},"{40.0, 50.0, 35.0}","{89, 93, 94, 87}","{Winemaker's Reserve, Old Vines}",{Pinot Noir},4
Dionysos,{Greece},"{Greece, Peloponnese}","{18.0, 11.0}",{84},"{Red Wine, Moschofilero-Moschato}","{Red Blend, White Blend}",2
Diora,{US},{California},"{25.0, 30.0}","{90, 91, 92, 93}","{La Petite Grace, Three Crowns Single Vineyard, Le Petite Grace, Three Crowns}","{Pinot Noir, Red Blend}",6
Dios Ares,{Spain},{Northern Spain},"{21.0, 23.0}","{89, 84}","{Crianza, Reserva}","{Tempranillo Blend, Tempranillo}",4
Director's Cut,{US},{California},{40.0},{85},{Cinema},{Zinfandel},1
Direder,{Austria},{Wagram},{12.0},{89},{Donatus},{Grüner Veltliner},1
Diren,{Turkey},{Turkey},"{17.0, 14.0}","{89, 87}",{Collection},{Okuzgozu},2
Dirler-Cadé,{France},{Alsace},"{16.0, 25.0, 14.0}","{91, 84, 86}","{Edelzwicker Réserve, Belzbrunnen, Réserve}","{White Blend, Riesling, Pinot Blanc}",3
Dirupi,{Italy},{Lombardy},{70.0},{93},{Vigna Riserva},{Nebbiolo},1
Discreto,{Chile},{Sagrada Familia},{14.0},{86},{Gran Reserva},{Red Blend},1
Diseño,{Argentina},{Mendoza Province},{11.0},{83},{Old Vine},{Malbec},1
Dissident,{Chile},{Curicó Valley},{10.0},{83},{Reserve},{Red Blend},1
District 7 Wines,{US},{California},{20.0},{90},{Estate Grown},{Cabernet Sauvignon},1
Disznókö,{Hungary},"{Tokaji, Tokaj}","{26.0, 20.0}","{91, 85, 93}","{Dry, Késöi Szüret Late Harvest}",{Furmint},3
Diversion,{US},{Washington},"{17.0, 15.0}","{88, 85}","{Majestic, Copper River Estate}","{Red Blend, Riesling}",3
Divine Llama,{US},{North Carolina},{18.0},{82},{In a Heart Beat},{Red Blend},1
Division,{US},{Oregon},{27.0},{88},{Methven Familly Vineyards Cru},{Gamay Noir},1
Diví Elegància,{France},{Languedoc-Roussillon},{18.0},{89},"{Ambré, Tuilé}","{White Blend, Red Blend}",4
Diwald,{Austria},{Wagram},"{18.0, 23.0, 30.0, 15.0}","{89, 90, 91}","{Grossriedenthaler Löss, Alte Weingärten, Fuchsentanz}","{Grüner Veltliner, Zweigelt, Riesling}",4
Dixie Flyer Vineyards,{US},{California},{10.0},{84},{The Brakeman},{Cabernet Sauvignon},1
Dixon's Peak,{South Africa},{Coastal Region},{13.0},{86},{Organic Viticulture},{Cabernet Sauvignon-Merlot},1
Do Ferreiro,{Spain},{Galicia},{26.0},{88},{Rebisaca},{Albariño},1
Dobbes Family Estate,{US},{Oregon},"{65.0, 35.0, 40.0, 45.0, 50.0, 55.0, 26.0, 28.0}","{86, 87, 88, 89, 90, 91}","{Crater View Vineyard, Grand Assemblage, Meyer Vineyard, Patricia's Cuvée, Quailhurst Vineyard}","{Pinot Noir, Grenache Blanc, Syrah}",16
Dobogó,{Hungary},"{Tokaji, Tokaj}","{40.0, 25.0, 125.0}","{96, 91, 92, 93}","{Szent Tamás Betsek Vineyards, Mylitta, Aszú 6 Puttonyos}","{Furmint, Tokaji}",4
Dog Point,{New Zealand},{Marlborough},"{35.0, 36.0}","{91, 92}",{Section 94},{Sauvignon Blanc},2
Dogarina,{Italy},{Veneto},"{16.0, 20.0}","{85, 86}","{Campodipietra, Millesimato Extra Dry}","{Pinot Grigio, Glera, Manzoni}",3
Dogwood,{US},{California},"{25.0, 34.0, 30.0}","{83, 84, 87}","{McMinn Vineyards, Blendo, Sargentini Vineyard}","{Chardonnay, Red Blend, Zinfandel}",3
Dois Irmãos,{US},{Oregon},{45.0},{91},{Two Brothers' Private Selection},{Pinot Noir},1
Dolce,{US},{California},{85.0},"{96, 95}","{Late Harvest Wine, Late Harvest}",{Semillon-Sauvignon Blanc},2
Dolce Stefania,{Argentina},{Mendoza Province},"{16.0, 17.0}","{83, 86}",{Reserva},{Malbec},2
Dolin,{US},{California},"{22.0, 45.0, 46.0, 39.0}","{88, 89, 90, 91, 92, 93, 95}","{Bien Nacido Vineyard, The Troubadour, Estate, Malibu Estate, Rose of}","{Chardonnay, Pinot Noir, Bordeaux-style Red Blend}",10
Dolina,{US},{California},{30.0},"{92, 93}",{Rio Vista Vineyard},{Pinot Noir},2
Dolmo,{Spain},{Northern Spain},{10.0},{87},{Vendimia Seleccionada},{Tempranillo},1
Dom Caudron,{France},{Champagne},"{35.0, 75.0, 50.0, 60.0, 95.0}","{87, 88, 90, 91, 92}","{Fascinante Rosé Brut, Prédiction Brut, Sublimité 50/50, Epicurienne Brut, Cornalyne Brut}","{Pinot Meunier, Champagne Blend}",6
Domados,{Argentina},{Mendoza Province},{12.0},{83},{Rosillo},{Cabernet Sauvignon},1
Domaine A. Cailbourdin,{France},{Loire Valley},"{25.0, 20.0}","{88, 87}","{Les Cris, Le Cris}",{Sauvignon Blanc},2
Domaine A. Machard de Gramont,{France},{Burgundy},"{35.0, 43.0, 60.0, 78.0, 80.0, 50.0, 25.0, 58.0, 27.0, 28.0, 61.0, 62.0}","{86, 87, 88, 89, 90}","{Clos Blanc Premier Cru, Les Beaumonts, Les Damodes Premier Cru, Les Morais, Les Beau Monts}","{Pinot Noir, Chardonnay}",15
Domaine Albert Mann,{France},{Alsace},"{34.0, 40.0, 22.0, 26.0, 27.0}","{86, 87, 90, 91, 93}","{Brut, Furstentum Grand Cru, Rosenberg, Hengst Grand Cru, Cuvée Albert}","{Pinot Gris, Sparkling Blend, Gewürztraminer, Riesling}",7
Domaine Alfred,{US},{California},"{38.0, 42.0, 28.0, 18.0, 24.0, 60.0}","{84, 85, 86, 87, 88, 89, 90, 93}","{Chamisal Vineyards, Chamisal Vineyards Califa, Stainless, Da Red, Margarita Vineyards}","{Chardonnay, Pinot Noir, Syrah, Red Blend, Pinot Gris}",13
Domaine Allimant-Laugner,{France},{Alsace},"{34.0, 22.0}","{90, 92}","{Vendange Tardive, Sélection de Grains Nobles, Praelatenberg Grand Cru}","{Gewürztraminer, Riesling}",6
Domaine Amirault,{France},{Loire Valley},"{32.0, 35.0, 27.0, 24.0}","{89, 91, 93}","{Les Gravilices, Les Quarterons, Le Fondis, Amirault, Les Quarterons Brut}","{Cabernet Franc, Chenin Blanc, Sparkling Blend}",5
Domaine Anderson,{US},{California},"{65.0, 35.0, 38.0, 50.0, 55.0}","{88, 89, 90, 91, 93, 94}","{Dach Vineyard, Estate Bottled, Walraven Vineyard, Estate, Pinoli Vineyard}","{Chardonnay, Pinot Noir}",11
Domaine Andre Brunel,{France},{Rhône Valley},{10.0},{88},{Cuvée Sommelongue},{Rhône-style Red Blend},1
Domaine André Bonhomme,{France},{Burgundy},"{24.0, 20.0, 23.0}","{88, 86}","{Cuvée Spéciale, Les Pierres Blanches}",{Chardonnay},4
Domaine Ansen,{France},{Alsace},{45.0},{88},{Struch Brut},{Sparkling Blend},2
Domaine Antonin Guyon,{France},{Burgundy},"{65.0, 50.0, 108.0}","{90, 92, 93}","{Sous Frétille Premier Cru, Les Charmes Dessus Premier Cru, Les Goudelettes}","{Chardonnay, Pinot Noir}",3
Domaine Arnoux Père et Fils,{France},{Burgundy},"{35.0, 127.0, 125.0, 55.0}","{88, 90, 91, 93, 94, 95}","{Les Beaumonts, En Genêt Premier Cru, Le Rognet}",{Pinot Noir},6
Domaine Barmès-Buecher,{France},{Alsace},"{19.0, 24.0, 25.0, 26.0, 27.0, 28.0, 30.0, 32.0, 33.0, 34.0, 35.0, 36.0, 38.0, 40.0, 44.0, 46.0, 48.0, 50.0, 51.0, 55.0, 56.0, 60.0, 90.0}","{96, 84, 85, 88, 89, 90, 91, 92, 93, 94, 95}","{Rosenberg, Steingrubler Grand Cru, Hengst Grand Cru, Pfleck, Pfersigberg Grand Cru}","{Gewürztraminer, Riesling, Pinot Gris, Pinot Noir, Pinot Blanc}",45
Domaine Baron de l'Ecluse,{France},{Beaujolais},"{25.0, 29.0, 22.0}","{91, 93, 87}","{Vieilles Vignes, L'Ecluse, Les Garances}",{Gamay},3
Domaine Barraud,{France},{Burgundy},{28.0},{89},{Sur la Roche},{Chardonnay},1
Domaine Beausejour,{France},{Loire Valley},{15.0},{84},{Les Grenettes},{Sauvignon Blanc},2
Domaine Begude,{France},{Languedoc-Roussillon},{27.0},{90},{L'Etoile de Begude},{Chardonnay},1
Domaine Belland,{France},{Burgundy},"{32.0, 37.0}","{88, 87}","{Comme Dessus, Charmes}","{Chardonnay, Pinot Noir}",2
Domaine Bellegarde,{France},{Southwest France},{27.0},{90},{La Pierre Blanche},{Petit Manseng},1
Domaine Benoît & Mathieu Fleuriet,{France},{Loire Valley},"{25.0, 33.0}","{88, 89, 91}","{Les Demoiselles, Renaissance La Magie des Caillottes, Renaissance Les Grandes Marnes}",{Sauvignon Blanc},4
Domaine Bernard Fleuriet et Fils,{France},{Loire Valley},"{40.0, 50.0, 60.0}","{91, 93, 94}","{Pur Jus, Tradition, Anthocyane, Côte de Marloup, La Baronne}","{Sauvignon Blanc, Pinot Noir}",7
Domaine Bernhard & Reibel,{France},{Alsace},"{70.0, 45.0, 19.0, 25.0, 29.0}","{80, 84, 87, 89, 90, 92, 93, 95}","{Hahnenberg, Coup de Foudre, Weingarten, Vendanges Tardives, Rittersberg}","{Riesling, Pinot Gris, Gewürztraminer}",13
Domaine Bertagna,{France},{Burgundy},"{100.0, 106.0, 113.0, 115.0, 250.0, 30.0}","{87, 88, 90, 91, 93, 94}","{Les Dames Huguettes, Clos Vougeot, Les Beaux-Monts, Les Cras Premier Cru, Les Cras}","{Pinot Noir, Chardonnay}",7
Domaine Berthet-Bondet,{France},{France Other},"{90.0, 59.0, 31.0}","{88, 94, 87}","{Vin Jaune, Naturé, Vin de Paille}","{Savagnin, White Blend}",3
Domaine Berthoumieu,{France},{Southwest France},"{25.0, 35.0, 17.0}","{88, 91, 93, 94, 95}","{Charles de Batz, Vitis MCM, Haute Tradition}","{Tannat-Cabernet, Tannat}",7
Domaine Bertrand,{France},{Beaujolais},"{25.0, 22.0}","{88, 90, 91}","{Vuril, Pisse-Vieille, Les Déduits}",{Gamay},4
Domaine Billaud-Simon,{France},{Burgundy},"{57.0, 109.0, 46.0}","{93, 95}","{Montée de Tonnerre Premier Cru, Vaudésir Grand Cru, Les Vaillons Premier Cru}",{Chardonnay},3
Domaine Bott-Geyl,{France},{Alsace},"{33.0, 37.0, 40.0, 41.0, 43.0, 44.0, 45.0, 46.0, 14.0, 16.0, 48.0, 20.0, 21.0, 22.0, 23.0, 24.0, 26.0}","{89, 90, 91, 92, 93, 94, 95}","{Sonnenglanz Grand Cru, Les Élements, Les Éléments, Schlossberg Grand Cru, Furstentum Grand Cru}","{Riesling, Pinot Gris, Gewürztraminer, White Blend, Pinot Noir}",28
Domaine Bousquet,{Argentina},{Mendoza Province},"{35.0, 13.0, 14.0, 15.0, 16.0, 18.0, 20.0, 23.0, 25.0, 30.0}","{83, 84, 85, 86, 87, 88, 92}","{Reserve, Finca Lalande, Cameleon Made With Organically Grown Grapes, Reserve Made With Organic Grapes, Made With Organic Grapes}","{Malbec, Chardonnay, Cabernet Sauvignon, Red Blend, Pinot Gris}",23
Domaine Boyar,{Bulgaria},"{Thracian Valley, Danube River Plains}","{9.0, 10.0, 11.0, 12.0, 16.0, 20.0}","{89, 90, 84, 87}","{Reserve, Royal Reserve, Quantum}","{Cabernet Sauvignon, Merlot, Mavrud, Chardonnay}",9
Domaine Bru-Baché,{France},{Southwest France},"{128.0, 25.0, 50.0, 30.0}","{90, 92, 94}","{Les Casterasses, La Quintessence, L'Eminence}","{Petit Manseng, Gros Manseng, Gros and Petit Manseng}",4
Domaine Brusset,{France},{Rhône Valley},{17.0},{85},{Les Clavelles},{Viognier},1
Domaine Buisson Battault,{France},{Burgundy},"{160.0, 99.0}","{93, 94}","{Genevrières Premier Cru, Porusot Premier Cru, Les Gouttes d'Or Premier Cru}",{Chardonnay},3
Domaine Bègue-Mathiot,{France},{Burgundy},{30.0},{91},{Vaillons Premier Cru},{Chardonnay},1
Domaine Cabirau,{France},{Languedoc-Roussillon},{24.0},{90},{Serge & Nicolas},{Rhône-style Red Blend},1
Domaine Calvet-Thunevin,{France},{Languedoc-Roussillon},{50.0},{91},{Les Trois Marie},{Rhône-style Red Blend},1
Domaine Capmartin,{France},{Southwest France},"{25.0, 15.0}","{91, 92}","{Vieilles Vignes, Cuvée du Couvent}","{Tannat-Cabernet, Tannat}",2
Domaine Carneros,{US},{California},"{35.0, 36.0, 90.0, 68.0, 39.0, 70.0, 75.0, 44.0, 110.0, 80.0, 48.0, 55.0, 24.0, 25.0, 26.0, 95.0}","{85, 87, 88, 89, 90, 91, 92, 93, 95}","{The Famous Gate, Brut, La Terre Promise, Estate, Cuvée de la Pompadour Brut Rosé}","{Pinot Noir, Sparkling Blend, Chardonnay}",30
Domaine Carrette,{France},{Burgundy},"{35.0, 23.0}","{88, 83, 84, 86}","{Les Mûres, Les Crays}",{Chardonnay},6
Domaine Cauhapé,{France},{Southwest France},"{34.0, 35.0, 16.0, 18.0, 24.0, 25.0}","{89, 90, 91, 92, 94, 95}","{Symphonie de Novembre, Sève d'Automne, Ballet d'Octobre, Quest by Cauhapé, Chante des Vignes}","{Gros and Petit Manseng, Petit Manseng, White Blend}",11
Domaine Cazes,{France},{Languedoc-Roussillon},"{35.0, 36.0, 45.0, 15.0, 18.0, 20.0, 24.0}","{84, 88, 89, 90, 91, 93}","{Ambré, Vin Doux Naturel Biodynamie, Le Canon du Marechal, Ambré Vin Doux Naturel Biodynamie, Le Credo}","{Grenache Blanc, Muscat, Rosé, Rhône-style Red Blend}",7
Domaine Chaintreuil,{France},{Beaujolais},"{25.0, 21.0}","{89, 90}","{La Madone Vieilles Vignes, La Madonne, La Madone}",{Gamay},3
Domaine Chandon,{US},{California},"{65.0, 35.0, 40.0, 50.0, 20.0, 24.0, 30.0}","{84, 85, 89, 90, 91, 92, 93}","{étoile Rosé, étoile Brut, Étoile Brut, Étoile Rosé, Brut}","{Champagne Blend, Sparkling Blend, Chardonnay, Pinot Noir}",8
Domaine Chandon de Briailles,{France},{Burgundy},{53.0},{94},{Ile de Vergelesses Premier Cru},{Pinot Noir},1
Domaine Chanson,{France},{Burgundy},"{100.0, 105.0, 45.0, 110.0, 55.0, 187.0}","{88, 91, 93, 94, 95}","{Clos des Mouches Premier Cru, Héritiers Paul Chanson, Clos des Fèves Premier Cru, Hauts Marconnets Premier Cru, Les Chenevottes Premier Cru}","{Chardonnay, Pinot Noir}",7
Domaine Chantal Lescure,{France},{Burgundy},"{85.0, 166.0}","{93, 94}","{Les Suchots Premier Cru, Les Bertins Premier Cru}",{Pinot Noir},2
Domaine Charles Baur,{France},{Alsace},"{35.0, 38.0, 60.0, 17.0, 18.0, 19.0, 20.0, 23.0, 25.0, 27.0, 28.0, 29.0, 30.0}","{85, 88, 89, 90, 91, 92, 93, 94}","{Pfersigberg Grand Cru, Cuvée Charles, Brut, Brand Grand Cru, Brut Rosé}","{Riesling, Sparkling Blend, Gewürztraminer, Pinot Noir, Pinot Gris}",32
Domaine Charles Frey,{France},{Alsace},"{35.0, 38.0, 50.0, 20.0, 22.0, 25.0, 28.0, 29.0, 30.0}","{83, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94}","{Frankstein Grand Cru, Quintessence, Vieilles Vignes, Clos St Sébastien, Plaisir Perlant Millesimé Extra Brut}","{Sparkling Blend, Riesling, Gewürztraminer, Pinot Noir, Pinot Gris}",33
Domaine Charly Nicolle,{France},{Burgundy},"{40.0, 65.0}","{90, 91, 87}","{Cuvée Ancestrum, Mont de Milieu Premier Cru, Les Fourneaux Premier Cru}",{Chardonnay},5
Domaine Chasselay,{France},{Beaujolais},"{37.0, 39.0, 20.0, 21.0, 23.0, 25.0, 28.0, 30.0}","{85, 86, 87, 88, 90, 91}","{Les Grands Eparcieux, Quatre Saisons, La Chapelle des Bois, Cuvée de la Platière, L'Héronde}",{Gamay},11
Domaine Chatelain,{France},{Loire Valley},"{25.0, 22.0, 23.0}","{92, 87}","{Les Vignes de Saint-Laurent l'Abbaye, Prestige, Jean Vincent, Vincent Vatan Sélection Silex}",{Sauvignon Blanc},6
Domaine Chenevières,{France},{Burgundy},"{65.0, 35.0, 40.0, 45.0, 25.0, 30.0}","{88, 89, 91, 92, 93}","{Côte de Lechet Premier Cru, Les Grandes Vignes, Les Grands Vignes, L'Homme Mort Premier Cru, Fourchaume Premier Cru}",{Chardonnay},8
Domaine Chevillon-Chezeaux,{France},{Burgundy},"{70.0, 45.0, 80.0, 25.0, 90.0}","{86, 89, 90, 91, 92, 93}","{Les Bousselots Premier Cru, Les Porêts Premier Cru, Aux Champs Perdrix Premier Cru, Les Saint-Georges Premier Cru, Vieilles Vignes}","{Pinot Noir, Chardonnay}",11
